Type      Name                          Path                                              Size (Bytes)   Creation Date       Modification Date   
-------------------------------------------------------------------------------------------------------------------------------------------------
File      huffman.h                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\huffman.h1891           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      input_gspcav1.c               C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\input_gspcav1.c13198          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      jconfig.h                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\jconfig.h1350           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      jdatatype.h                   C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\jdatatype.h199            2021-02-04 13:27:10 2020-12-23 06:40:26 
File      Makefile                      C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\Makefile1058           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      marker.c                      C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\marker.c6872           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      marker.h                      C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\marker.h1927           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      quant.c                       C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\quant.c4473           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      quant.h                       C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\quant.h1902           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      readme.spcacat                C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\readme.spcacat6726           2021-02-04 13:27:10 2020-12-23 06:40:26 
