Extension,Type,Name,Path,Size (Bytes),Creation Date,Modification Date
.h,Unknown,dynctrl.h,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_control\dynctrl.h,2805,2021-02-04 13:27:10,2020-12-23 06:40:26
.c,Unknown,input_uvc.c,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_control\input_uvc.c,14284,2021-02-04 13:27:10,2020-12-23 06:40:26
,Unknown,Makefile,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_control\Makefile,656,2021-02-04 13:27:10,2020-12-23 06:40:26
.h,Unknown,uvcvideo.h,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_control\uvcvideo.h,5439,2021-02-04 13:27:10,2020-12-23 06:40:26
.h,Unknown,uvc_compat.h,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_control\uvc_compat.h,6045,2021-02-04 13:27:10,2020-12-23 06:40:26
.c,Unknown,input_file.c,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_file\input_file.c,10537,2021-02-04 13:27:10,2020-12-23 06:40:26
,Unknown,Makefile,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_file\Makefile,561,2021-02-04 13:27:10,2020-12-23 06:40:26
.c,Unknown,encoder.c,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\encoder.c,32392,2021-02-04 13:27:10,2020-12-23 06:40:26
.h,Unknown,encoder.h,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\encoder.h,3883,2021-02-04 13:27:10,2020-12-23 06:40:26
.c,Unknown,huffman.c,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\huffman.c,16318,2021-02-04 13:27:10,2020-12-23 06:40:26
.h,Unknown,huffman.h,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\huffman.h,1891,2021-02-04 13:27:10,2020-12-23 06:40:26
.c,Unknown,input_gspcav1.c,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\input_gspcav1.c,13198,2021-02-04 13:27:10,2020-12-23 06:40:26
.h,Unknown,jconfig.h,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\jconfig.h,1350,2021-02-04 13:27:10,2020-12-23 06:40:26
.h,Unknown,jdatatype.h,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\jdatatype.h,199,2021-02-04 13:27:10,2020-12-23 06:40:26
,Unknown,Makefile,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\Makefile,1058,2021-02-04 13:27:10,2020-12-23 06:40:26
.c,Unknown,marker.c,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\marker.c,6872,2021-02-04 13:27:10,2020-12-23 06:40:26
.h,Unknown,marker.h,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\marker.h,1927,2021-02-04 13:27:10,2020-12-23 06:40:26
.c,Unknown,quant.c,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\quant.c,4473,2021-02-04 13:27:10,2020-12-23 06:40:26
.h,Unknown,quant.h,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\quant.h,1902,2021-02-04 13:27:10,2020-12-23 06:40:26
.spcacat,Unknown,readme.spcacat,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\readme.spcacat,6726,2021-02-04 13:27:10,2020-12-23 06:40:26
.h,Unknown,spcaframe.h,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\spcaframe.h,644,2021-02-04 13:27:10,2020-12-23 06:40:26
.c,Unknown,spcav4l.c,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\spcav4l.c,32323,2021-02-04 13:27:10,2020-12-23 06:40:26
.h,Unknown,spcav4l.h,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\spcav4l.h,5967,2021-02-04 13:27:10,2020-12-23 06:40:26
.c,Unknown,utils.c,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\utils.c,33440,2021-02-04 13:27:10,2020-12-23 06:40:26
.h,Unknown,utils.h,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\utils.h,3502,2021-02-04 13:27:10,2020-12-23 06:40:26
.c,Unknown,input_testpicture.c,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\input_testpicture.c,9055,2021-02-04 13:27:10,2020-12-23 06:40:26
,Unknown,Makefile,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\Makefile,2638,2021-02-04 13:27:10,2020-12-23 06:40:26
.h,Unknown,testpictures.h,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\testpictures.h,950792,2021-02-04 13:27:10,2020-12-23 06:40:26
.jpg,Image,160x120_1.jpg,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\160x120_1.jpg,3836,2021-02-04 13:27:10,2020-12-23 06:40:26
.jpg,Image,160x120_2.jpg,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\160x120_2.jpg,3889,2021-02-04 13:27:10,2020-12-23 06:40:26
.jpg,Image,320x240_1.jpg,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\320x240_1.jpg,9621,2021-02-04 13:27:10,2020-12-23 06:40:26
.jpg,Image,320x240_2.jpg,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\320x240_2.jpg,9943,2021-02-04 13:27:10,2020-12-23 06:40:26
.jpg,Image,640x480_1.jpg,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\640x480_1.jpg,23950,2021-02-04 13:27:10,2020-12-23 06:40:26
.jpg,Image,640x480_2.jpg,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\640x480_2.jpg,24756,2021-02-04 13:27:10,2020-12-23 06:40:26
